All VMs by CPU Utilization - Last 7 Days for All Virtual Machines from Last 7 Days,,,,,
,,,,,
Cluster,Host,Name,Date,Average CPU Load (On Host),Average CPU Load
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-IMPERVA-LOG-RETENTION-SVR,7/2/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-IMPERVA-LOG-RETENTION-SVR,7/3/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-IMPERVA-MX-SVR,6/29/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-IMPERVA-MX-SVR,6/30/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-IMPERVA-MX-SVR,7/1/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-IMPERVA-MX-SVR,7/2/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-IMPERVA-MX-SVR,7/3/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-IPRS-SVR,6/29/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-IPRS-SVR,6/30/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-IPRS-SVR,7/1/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-IPRS-SVR,7/2/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-IPRS-SVR,7/3/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-KBID-APP-SVR,6/29/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-KBID-APP-SVR,6/30/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-KBID-APP-SVR,7/1/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-KBID-APP-SVR,7/2/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-KBID-APP-SVR,7/3/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-KBID-DB-SVR,6/29/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-KBID-DB-SVR,6/30/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-KBID-DB-SVR,7/1/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-KBID-DB-SVR,7/2/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-KBID-DB-SVR,7/3/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-KBID-SVR.27,6/29/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-KBID-SVR.27,6/30/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-KBID-SVR.27,7/1/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-KBID-SVR.27,7/2/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-KBID-SVR.27,7/3/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-KBTRACKER-SVR,6/29/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-KBTRACKER-SVR,6/30/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-KBTRACKER-SVR,7/1/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-KBTRACKER-SVR,7/2/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-KBTRACKER-SVR,7/3/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-KRA-ITAX-SVR.162,6/29/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-KRA-ITAX-SVR.162,6/30/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-KRA-ITAX-SVR.162,7/1/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-KRA-ITAX-SVR.162,7/2/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-KRA-ITAX-SVR.162,7/3/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-NEW-FORTISIEM-COLLECTOR,6/29/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-NEW-FORTISIEM-COLLECTOR,6/30/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-NEW-FORTISIEM-COLLECTOR,7/1/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-NEW-FORTISIEM-COLLECTOR,7/2/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-NEW-FORTISIEM-COLLECTOR,7/3/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-NOTIFICATION-SVR,6/29/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-NOTIFICATION-SVR,6/30/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-NOTIFICATION-SVR,7/1/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-NOTIFICATION-SVR,7/2/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-NOTIFICATION-SVR,7/3/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-OKOLEA-SVR_26-LIVE,6/29/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-OKOLEA-SVR_26-LIVE,6/30/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-OKOLEA-SVR_26-LIVE,7/1/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-OKOLEA-SVR_26-LIVE,7/2/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-OKOLEA-SVR_26-LIVE,7/3/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-OLD-SPS-SVR-NEW,6/29/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-OLD-SPS-SVR-NEW,6/30/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-OLD-SPS-SVR-NEW,7/1/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-OLD-SPS-SVR-NEW,7/2/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-OLD-SPS-SVR-NEW,7/3/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-PAM1-SVR,6/29/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-PAM1-SVR,6/30/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-PAM1-SVR,7/1/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-PAM1-SVR,7/2/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-PAM1-SVR,7/3/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-QDESK-SVR,6/29/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-QDESK-SVR,6/30/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-QDESK-SVR,7/1/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-QDESK-SVR,7/2/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,KBL-QDESK-SVR,7/3/2024,,
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,vCLS-5f9a24bc-58ed-4ed0-967c-31da43865cd6,6/29/2024,0.00 %,0.14 %
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,vCLS-5f9a24bc-58ed-4ed0-967c-31da43865cd6,6/30/2024,0.00 %,0.14 %
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,vCLS-5f9a24bc-58ed-4ed0-967c-31da43865cd6,7/1/2024,0.00 %,0.14 %
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,vCLS-5f9a24bc-58ed-4ed0-967c-31da43865cd6,7/2/2024,0.00 %,0.14 %
KBL-DR-CLUSTER,kbl-dr-esxi-host.kingdombankltd.local,vCLS-5f9a24bc-58ed-4ed0-967c-31da43865cd6,7/3/2024,0.00 %,0.14 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,Bitdefender SVE SVA (kbl-hq-esxi01.kingdombankltd.local),6/29/2024,0.21 %,9.87 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,Bitdefender SVE SVA (kbl-hq-esxi01.kingdombankltd.local),6/30/2024,0.19 %,9.34 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,Bitdefender SVE SVA (kbl-hq-esxi01.kingdombankltd.local),7/1/2024,0.19 %,9.29 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,Bitdefender SVE SVA (kbl-hq-esxi01.kingdombankltd.local),7/2/2024,0.21 %,9.90 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,Bitdefender SVE SVA (kbl-hq-esxi01.kingdombankltd.local),7/3/2024,0.21 %,10.03 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,IB_PROXY,6/29/2024,,
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,IB_PROXY,6/30/2024,,
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,IB_PROXY,7/1/2024,,
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,IB_PROXY,7/2/2024,,
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,IB_PROXY,7/3/2024,,
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_FORCEPOINT_ANALYTICS_SVR,6/29/2024,0.11 %,1.28 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_FORCEPOINT_ANALYTICS_SVR,6/30/2024,0.11 %,1.28 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_FORCEPOINT_ANALYTICS_SVR,7/1/2024,0.09 %,1.14 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_FORCEPOINT_ANALYTICS_SVR,7/2/2024,0.09 %,1.13 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_FORCEPOINT_ANALYTICS_SVR,7/3/2024,0.10 %,1.21 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_FORCEPOINT_CLASSIFY_VISIBLE-SVR,6/29/2024,1.98 %,9.50 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_FORCEPOINT_CLASSIFY_VISIBLE-SVR,6/30/2024,2.00 %,9.61 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_FORCEPOINT_CLASSIFY_VISIBLE-SVR,7/1/2024,1.85 %,8.86 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_FORCEPOINT_CLASSIFY_VISIBLE-SVR,7/2/2024,1.86 %,8.91 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_FORCEPOINT_CLASSIFY_VISIBLE-SVR,7/3/2024,1.88 %,9.02 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_FORCEPOINT_DB_SVR,6/29/2024,0.14 %,1.64 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_FORCEPOINT_DB_SVR,6/30/2024,0.04 %,0.53 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_FORCEPOINT_DB_SVR,7/1/2024,0.19 %,2.25 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_FORCEPOINT_DB_SVR,7/2/2024,0.11 %,1.32 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_FORCEPOINT_DB_SVR,7/3/2024,0.08 %,1.00 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_FORCEPOINT_DLP_SVR,6/29/2024,0.23 %,2.78 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_FORCEPOINT_DLP_SVR,6/30/2024,1.00 %,11.95 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_FORCEPOINT_DLP_SVR,7/1/2024,0.06 %,0.70 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_FORCEPOINT_DLP_SVR,7/2/2024,0.11 %,1.28 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_FORCEPOINT_DLP_SVR,7/3/2024,0.14 %,1.65 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_FORCEPOINT_MGMT,6/29/2024,0.30 %,3.59 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_FORCEPOINT_MGMT,6/30/2024,0.31 %,3.70 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_FORCEPOINT_MGMT,7/1/2024,0.41 %,4.98 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_FORCEPOINT_MGMT,7/2/2024,0.32 %,3.89 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_FORCEPOINT_MGMT,7/3/2024,0.35 %,4.20 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_SPLUNK_POC,6/29/2024,7.37 %,58.94 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_SPLUNK_POC,6/30/2024,7.49 %,59.94 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_SPLUNK_POC,7/1/2024,5.89 %,47.11 %
KBL-HQ-CLUSTER,kbl-hq-esxi01.kingdombankltd.local,KBL_SPLUNK_POC,7/2/2024,6.05 %,48.40 %
